sample,cohort,organ,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7c,SBS8,SBS9,SBS10a,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17,SBS17a,SBS18,SBS19,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS31,SBS32,SBS33,SBS35,SBS38,SBS44,SBS52,SBS53,SBS57,SBS84,SBS87,SBS88,SBS90,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS100,SBS101,SBS102,SBS103,SBS104,SBS105,SBS106,SBS107,SBS108,SBS109,SBS110,SBS111,SBS112,SBS113,SBS114,SBS115,SBS116,SBS117,SBS118,SBS119,SBS120,SBS121,SBS122,SBS123,SBS124,SBS125,SBS126,SBS127,SBS128,SBS129,SBS130,SBS131,SBS132,SBS133,SBS134,SBS135,SBS136,SBS137,SBS138,SBS139,SBS140,SBS141,SBS142,SBS143,SBS144,SBS145,SBS146,SBS147,SBS148,SBS149,SBS150,SBS151,SBS152,SBS153,SBS154,SBS155,SBS156,SBS157,SBS158,SBS159,SBS160,SBS161,SBS162,SBS163,SBS164,SBS165,SBS166,SBS167,SBS168,SBS169
492b4e58-12e2-47b2-bd47-28f8607072fa,ICGC,Colorectal,3229.50165417421,0,0,0,1941.90620315327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12703.7411217369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10ad692b-4c3d-42de-9b5e-4968441388b3,ICGC,Colorectal,5051.65729293787,0,0,0,831.513503475354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585.6515625829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.813381495254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.037204805043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55345803-83d4-4fdb-b0ee-328753801da1,ICGC,Colorectal,6569.97264581041,0,0,0,3801.58801027092,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.98234030289,0,5911.02405282188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.963703066524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.469247727552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3d65db3-36f9-41c7-8e5e-1683ce94dfcb,ICGC,Colorectal,5010.06251637126,0,0,0,2250.80345760936,0,0,0,0,0,0,0,0,0,0,0,0,0,732.935999301493,0,2183.30935126168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891.176088425269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.712587031105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0980e7fd-051d-45e9-9ca6-2baf073da4e8,ICGC,Colorectal,0,0,0,0,0,0,0,0,0,0,829855.776474331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31f02f48-44a4-445e-ac3d-e9bf3d8d25a2,ICGC,Colorectal,2134.62425053845,0,0,0,1228.57151172944,0,0,0,0,0,0,0,0,0,0,0,0,0,8092.97106932883,0,3666.7134291868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437.97333673964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.1464024771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6b6e1d3-c592-4836-bdad-d53af2dbcc9a,ICGC,Colorectal,7273.03751468776,0,0,0,1628.11297394893,0,0,0,0,0,0,0,0,0,0,0,0,0,2693.53251368469,0,5575.46238500559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2afbcba-d67d-43f1-be3b-05f3a5836ec0,ICGC,Colorectal,3364.75635387941,0,0,0,2259.85123350973,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.58724006857,0,5083.16404561377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fc453f67-6623-4e8c-b519-0bd79e4d4651,ICGC,Colorectal,4252.67611493954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731.8590560395,0,5923.49551423742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346.49271733535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.75770523674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7f2e85a-3c6a-48b7-8a4f-2dec1d85359d,ICGC,Colorectal,4246.14002446733,0,0,0,2109.79299622795,0,0,0,0,0,0,0,0,0,0,0,0,0,694.412988072179,0,1291.62819859313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039.46474290993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.561049729668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85e29049-a5e8-49fa-a576-e113c7b2c2e3,ICGC,Colorectal,3895.06610018309,0,0,0,3728.37068682221,0,0,0,0,0,0,0,0,0,0,0,0,0,679.296324116239,0,1034.71297122201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926.592241405819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.961676250801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2df02f2b-9f1c-4249-b3b4-b03079cd97d9,ICGC,Colorectal,0,0,0,0,0,0,0,0,0,0,2214914.32253803,0,0,0,0,0,0,0,160660.769519986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
